# Spherical harmonics problem 2021/03/23 19:56:50
order 0
N 32
# theta phi I
1.599639e+00 5.228467e+00 3.989423e-01 
9.840002e-01 2.332230e+00 3.989423e-01 
1.326173e+00 1.998544e+00 3.989423e-01 
2.432663e+00 5.177499e+00 3.989423e-01 
2.247958e+00 4.568117e+00 3.989423e-01 
2.051514e+00 2.398951e+00 3.989423e-01 
1.477977e+00 2.783526e+00 3.989423e-01 
1.855822e+00 5.525607e+00 3.989423e-01 
1.270884e+00 4.629730e+00 3.989423e-01 
2.020685e+00 2.281096e+00 3.989423e-01 
1.792090e+00 2.947614e+00 3.989423e-01 
2.604338e+00 5.974715e+00 3.989423e-01 
1.001774e+00 1.036956e+00 3.989423e-01 
1.762164e+00 2.910468e+00 3.989423e-01 
1.337237e+00 3.046587e+00 3.989423e-01 
3.072488e+00 5.222230e+00 3.989423e-01 
6.635182e-01 1.444120e+00 3.989423e-01 
7.847605e-01 2.868807e+00 3.989423e-01 
2.450636e+00 3.353220e+00 3.989423e-01 
2.426863e-01 1.995699e+00 3.989423e-01 
1.843446e+00 4.664289e+00 3.989423e-01 
1.920572e+00 3.927117e+00 3.989423e-01 
1.431577e+00 6.028436e+00 3.989423e-01 
1.562771e+00 5.602995e+00 3.989423e-01 
1.603761e+00 5.974545e+00 3.989423e-01 
1.023070e+00 3.422119e-01 3.989423e-01 
2.291270e+00 5.479388e-01 3.989423e-01 
1.515706e+00 3.277677e+00 3.989423e-01 
1.181256e+00 6.899956e-01 3.989423e-01 
1.695261e+00 1.317405e+00 3.989423e-01 
2.369775e+00 9.274936e-01 3.989423e-01 
2.171210e+00 1.931740e+00 3.989423e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
