# Spherical harmonics problem 2021/03/23 19:57:00
order 1
N 512
# theta phi I
1.512422e+00 3.671302e+00 4.555100e-01 
4.529394e-01 1.593014e+00 3.422212e-01 
2.619893e+00 6.251931e+00 4.159668e-01 
5.698905e-01 4.307260e+00 3.860744e-01 
1.679218e+00 6.015151e+00 3.655479e-01 
1.105000e+00 5.515743e+00 3.666184e-01 
1.421944e+00 5.202952e+00 3.980171e-01 
2.950340e+00 4.226313e-01 4.343115e-01 
1.938722e+00 4.136221e+00 4.671664e-01 
2.466194e+00 1.743995e+00 4.207036e-01 
1.028270e+00 6.016532e+00 3.412369e-01 
7.798064e-01 4.756234e+00 3.871545e-01 
4.096670e-01 2.046126e+00 3.526585e-01 
2.933017e+00 4.975381e-01 4.330285e-01 
2.168918e+00 1.685156e+00 4.028979e-01 
1.765938e+00 5.210849e+00 4.137257e-01 
6.919146e-01 3.289011e+00 3.967186e-01 
7.292704e-01 4.519682e-01 3.243235e-01 
9.500053e-01 2.478678e+00 3.863188e-01 
2.651351e+00 8.929638e-02 4.162079e-01 
9.826790e-01 4.688749e+00 4.013621e-01 
1.618101e+00 5.339725e+00 3.992217e-01 
1.836902e+00 3.216095e+00 4.612746e-01 
2.728246e+00 4.353629e+00 4.618420e-01 
1.746206e+00 3.351360e+00 4.615723e-01 
2.712359e+00 3.005433e+00 4.604931e-01 
1.024225e+00 4.329911e+00 4.164787e-01 
6.438388e-01 3.455666e+00 3.953973e-01 
2.488734e+00 5.534431e+00 4.284186e-01 
2.227774e+00 6.030287e-01 3.807246e-01 
3.198648e-01 3.013345e+00 3.680050e-01 
1.913898e+00 3.918110e+00 4.700429e-01 
2.256675e+00 4.154103e+00 4.710743e-01 
2.444074e+00 5.586346e+00 4.247050e-01 
1.637167e+00 3.467062e+00 4.593766e-01 
1.269081e+00 1.298655e-01 3.340181e-01 
4.018730e-01 2.286773e+00 3.581559e-01 
2.167971e+00 3.644837e+00 4.746348e-01 
1.190681e+00 2.063147e+00 3.757280e-01 
2.390994e+00 2.360106e+00 4.414656e-01 
1.773442e+00 1.093985e+00 3.572715e-01 
1.939349e+00 1.694757e+00 3.908330e-01 
1.842333e+00 3.293362e+00 4.634997e-01 
3.417513e-01 6.029103e+00 3.410981e-01 
1.450707e+00 1.392574e+00 3.519938e-01 
1.088475e+00 3.499533e+00 4.282580e-01 
1.537621e+00 6.210437e+00 3.506066e-01 
1.560686e+00 3.090401e-01 3.413159e-01 
1.279711e+00 1.955369e+00 3.734609e-01 
2.359519e+00 3.883191e+00 4.740814e-01 
1.802975e+00 2.633856e+00 4.360282e-01 
1.630495e+00 5.238016e+00 4.058527e-01 
2.253285e+00 5.987943e-02 3.890595e-01 
1.128414e+00 3.005838e+00 4.187604e-01 
2.085574e+00 3.852416e+00 4.737616e-01 
1.361149e+00 3.169681e+00 4.382410e-01 
5.605858e-01 5.332574e+00 3.579897e-01 
2.642179e+00 4.286674e+00 4.648483e-01 
1.668949e+00 4.291554e+00 4.539421e-01 
1.194658e+00 4.928458e+00 4.019942e-01 
1.371926e+00 4.307905e+00 4.386723e-01 
1.963625e+00 5.325101e+00 4.160729e-01 
1.851621e+00 4.685582e+00 4.453798e-01 
1.413319e+00 5.851474e+00 3.610305e-01 
1.740455e+00 2.070584e+00 4.014001e-01 
1.609635e+00 5.550317e+00 3.864297e-01 
2.445349e+00 1.742108e+00 4.196195e-01 
7.793761e-01 3.833663e-01 3.243015e-01 
2.341469e+00 4.687205e+00 4.567651e-01 
