# Spherical harmonics problem 2021/03/23 19:57:07
order 2
N 256
# theta phi I
1.105247e+00 7.509336e-01 4.507314e-01 
1.819535e+00 3.100211e+00 3.389216e-01 
1.680142e+00 5.402681e+00 3.134598e-01 
1.379198e+00 2.552059e+00 4.250980e-01 
2.445950e+00 3.711170e+00 3.140914e-01 
6.191906e-01 4.229104e+00 4.746407e-01 
1.555283e+00 5.894762e+00 3.416363e-01 
1.893249e+00 5.667923e+00 3.471355e-01 
1.147478e-01 2.637553e+00 5.440730e-01 
2.312356e+00 2.123733e+00 3.239141e-01 
1.020584e+00 3.055994e+00 4.980135e-01 
8.203924e-01 2.334231e+00 5.346517e-01 
2.227658e+00 2.361893e+00 3.118803e-01 
2.574198e+00 5.915853e+00 4.067337e-01 
1.390346e+00 5.217609e+00 3.045727e-01 
5.888229e-01 5.672596e+00 4.116086e-01 
2.095090e+00 5.799300e+00 3.759897e-01 
1.756579e+00 3.414585e+00 3.491852e-01 
1.488667e+00 1.143563e+00 4.374996e-01 
1.514112e+00 1.338632e+00 4.311977e-01 
2.216589e+00 5.905275e+00 3.932156e-01 
1.489044e+00 3.131657e+00 3.995986e-01 
1.366116e+00 3.534814e+00 4.147452e-01 
2.008229e+00 8.668924e-01 4.230439e-01 
1.611675e+00 2.271831e+00 3.806380e-01 
3.237914e-01 2.895637e+00 5.589008e-01 
1.673401e+00 5.076059e+00 3.052285e-01 
1.441712e+00 1.216562e-01 3.888092e-01 
2.542649e+00 5.163311e+00 3.705499e-01 
1.796983e+00 2.241583e+00 3.515322e-01 
1.799023e+00 5.739644e-01 4.260527e-01 
1.281507e+00 5.189588e+00 3.098963e-01 
1.353642e+00 4.332043e+00 3.583637e-01 
1.345879e+00 6.709136e-01 4.339685e-01 
1.962134e+00 5.238232e-01 4.269924e-01 
2.756580e+00 2.018672e-01 4.102541e-01 
1.608802e+00 2.365281e+00 3.790416e-01 
1.472239e+00 3.465001e+00 3.972942e-01 
2.720149e+00 2.434478e+00 3.311157e-01 
1.743553e+00 1.268075e+00 4.148027e-01 
2.775698e+00 1.038881e+00 3.921390e-01 
1.549126e+00 4.317137e+00 3.395530e-01 
6.806762e-01 5.830017e+00 3.982500e-01 
2.428748e+00 3.115445e+00 3.029084e-01 
8.291411e-01 2.250359e+00 5.324361e-01 
1.667474e+00 3.543657e+00 3.615083e-01 
2.607382e+00 4.413355e+00 3.432666e-01 
2.826433e+00 2.839456e+00 3.350660e-01 
2.569309e+00 4.361019e+00 3.391820e-01 
1.734382e+00 3.131928e+00 3.526874e-01 
5.745656e-01 3.562369e+00 5.308603e-01 
8.297306e-01 4.369923e+00 4.296604e-01 
1.932957e+00 3.099706e+00 3.236357e-01 
6.773390e-01 7.566668e-01 4.843729e-01 
2.524648e+00 4.602720e+00 3.452559e-01 
5.385028e-01 3.661270e+00 5.271728e-01 
1.926078e-01 2.020925e+00 5.496048e-01 
